Data i godzina,Kuchnia,Łazienka,Piwnica,Pokój,Salon,Zewnątrz
18/01/2020 00:00,22.5,21.0,16.0,23.0,23.5,3.0
18/01/2020 01:00,21.8,20.5,15.5,22.3,22.9,-7.0
18/01/2020 02:00,21.9,20.4,15.7,22.5,22.6,-6.2
18/01/2020 03:00,22.1,20.5,15.8,22.6,22.9,-5.9
18/01/2020 04:00,22.2,20.5,15.5,22.5,22.9,-4.4
18/01/2020 05:00,22.1,20.8,15.9,23.1,22.6,-2.9
18/01/2020 06:00,22.1,20.7,16.0,22.7,22.9,-3.0
18/01/2020 07:00,22.2,21.1,15.9,22.7,23.0,-0.3
18/01/2020 08:00,22.7,20.9,15.8,23.1,23.4,-0.2
18/01/2020 09:00,22.2,20.9,15.9,22.5,23.6,-1.0
18/01/2020 10:00,22.8,20.8,16.0,23.1,23.5,0.9
18/01/2020 11:00,22.8,20.7,15.8,22.5,23.8,-0.2
18/01/2020 12:00,22.4,21.2,16.1,22.8,23.1,1.0
18/01/2020 13:00,22.8,21.5,16.1,22.8,23.8,1.4
18/01/2020 14:00,22.6,21.0,16.0,22.9,23.4,1.5
18/01/2020 15:00,22.2,20.6,15.8,22.9,23.3,1.6
18/01/2020 16:00,22.5,20.8,16.0,22.7,23.3,0.5
18/01/2020 17:00,22.0,21.1,15.9,22.7,23.0,-0.2
18/01/2020 18:00,21.9,20.6,15.8,22.7,23.7,-0.5
18/01/2020 19:00,22.5,21.2,15.7,23.0,23.0,-1.2
18/01/2020 20:00,22.0,20.8,15.8,22.7,23.1,-2.8
18/01/2020 21:00,21.6,20.7,15.9,22.6,23.2,-2.2
18/01/2020 22:00,22.0,20.6,15.8,22.1,23.0,-3.6
18/01/2020 23:00,22.1,20.0,15.3,22.1,22.8,-4.5
