Data i godzina,Kuchnia,Łazienka,Piwnica,Pokój,Salon,Zewnątrz
18/01/2020 00:00,55.0%,60.0%,70.0%,40.0%,50.0%,85.0%
18/01/2020 01:00,59.6%,65.0%,76.4%,43.5%,55.1%,91.4%
18/01/2020 02:00,58.9%,65.5%,76.4%,43.3%,54.1%,90.5%
18/01/2020 03:00,59.4%,65.6%,76.6%,42.8%,54.6%,92.7%
18/01/2020 04:00,60.2%,64.2%,76.6%,43.4%,53.4%,93.2%
18/01/2020 05:00,59.1%,63.9%,74.6%,43.8%,53.3%,92.4%
18/01/2020 06:00,58.8%,63.4%,75.1%,42.9%,53.1%,90.7%
18/01/2020 07:00,57.0%,63.9%,75.0%,42.7%,52.4%,90.0%
18/01/2020 08:00,58.0%,62.9%,75.1%,42.0%,52.6%,89.3%
18/01/2020 09:00,58.3%,62.5%,71.1%,42.4%,51.9%,88.0%
18/01/2020 10:00,56.5%,60.9%,71.2%,40.3%,50.8%,86.9%
18/01/2020 11:00,55.7%,62.1%,70.3%,40.0%,49.2%,85.0%
18/01/2020 12:00,54.2%,59.2%,67.9%,39.9%,49.6%,81.7%
18/01/2020 13:00,52.8%,57.3%,66.9%,38.1%,48.0%,81.8%
18/01/2020 14:00,52.4%,56.9%,67.0%,38.4%,47.4%,81.4%
18/01/2020 15:00,53.0%,57.1%,67.2%,38.2%,47.7%,80.8%
18/01/2020 16:00,52.7%,58.8%,68.8%,39.5%,48.5%,82.6%
18/01/2020 17:00,55.3%,60.2%,69.8%,40.0%,49.6%,85.4%
18/01/2020 18:00,55.8%,60.5%,71.9%,40.6%,51.2%,87.1%
18/01/2020 19:00,56.3%,62.0%,72.4%,41.6%,51.9%,88.0%
18/01/2020 20:00,57.8%,62.5%,74.7%,41.8%,52.5%,88.5%
18/01/2020 21:00,58.6%,63.3%,75.3%,42.7%,53.1%,90.0%
18/01/2020 22:00,59.0%,63.7%,75.0%,42.4%,53.6%,90.3%
18/01/2020 23:00,59.7%,64.8%,76.3%,43.2%,52.9%,92.1%
