Data i godzina,Zużycie,Wytwarzanie
18/01/2020 00:00,103,0
18/01/2020 01:00,66,0
18/01/2020 02:00,41,0
18/01/2020 03:00,41,0
18/01/2020 04:00,45,0
18/01/2020 05:00,71,0
18/01/2020 06:00,90,0
18/01/2020 07:00,153,49
18/01/2020 08:00,205,321
18/01/2020 09:00,265,767
18/01/2020 10:00,352,1422
18/01/2020 11:00,420,1617
18/01/2020 12:00,495,1857
18/01/2020 13:00,549,1628
18/01/2020 14:00,586,1240
18/01/2020 15:00,587,689
18/01/2020 16:00,583,525
18/01/2020 17:00,545,5
18/01/2020 18:00,485,0
18/01/2020 19:00,424,0
18/01/2020 20:00,350,0
18/01/2020 21:00,272,0
18/01/2020 22:00,201,53
18/01/2020 23:00,150,40
