Data i godzina,Temp.
18/01/2020 00:00,48
18/01/2020 01:00,48
18/01/2020 02:00,47
18/01/2020 03:00,46
18/01/2020 04:00,45
18/01/2020 05:00,44
18/01/2020 06:00,42
18/01/2020 07:00,40
18/01/2020 08:00,38
18/01/2020 09:00,36
18/01/2020 10:00,34
18/01/2020 11:00,31
18/01/2020 12:00,31
18/01/2020 13:00,31
18/01/2020 14:00,34
18/01/2020 15:00,36
18/01/2020 16:00,38
18/01/2020 17:00,40
18/01/2020 18:00,42
18/01/2020 19:00,44
18/01/2020 20:00,46
18/01/2020 21:00,46
18/01/2020 22:00,47
18/01/2020 23:00,48
